北海道札幌市,172095 
北海道函館市,70063 
北海道小樽市,69781 
北海道旭川市,42436 
北海道室蘭市,16308 
北海道釧路市,36506 
北海道帯広市,54250 
北海道北見市,17580 
北海道留萌市,8127 
北海道苫小牧市,50712 
北海道美唄市,10827 
北海道芦別市,3100 
北海道江別市,70976 
北海道赤平市,20215 
北海道紋別市,7459 
北海道名寄市,71357 
北海道三笠市,13340 
北海道根室市,6767 
北海道千歳市,50222 
北海道滝川市,28250 
北海道富良野市,59 
北海道登別市,112312 
北海道恵庭市,36037 
北海道伊達市,18248 
北海道北広島市,52463 
北海道石狩市,54304 
北海道北斗市,10273 
北海道松前郡福島町,700 
北海道亀田郡七飯町,12419 
北海道茅部郡森町,11923 
北海道山越郡長万部町,5495 
北海道檜山郡江差町,6500 
北海道檜山郡上ノ国町,20000 
北海道瀬棚郡今金町,183 
北海道寿都郡寿都町,2 
北海道虻田郡倶知安町,25745 
北海道岩内郡共和町,279 
北海道古平郡古平町,46 
北海道余市郡余市町,29540 
北海道空知郡南幌町,16000 
北海道上川郡鷹栖町,22576 
北海道上川郡東神楽町,69421 
北海道上川郡上川町,6250 
北海道上川郡美瑛町,536 
北海道空知郡上富良野町,5279 
北海道上川郡下川町,190 
北海道増毛郡増毛町,7000 
北海道苫前郡羽幌町,892 
北海道枝幸郡枝幸町,5843 
北海道斜里郡斜里町,7633 
北海道斜里郡清里町,4545 
北海道紋別郡遠軽町,63 
北海道紋別郡滝上町,19 
北海道紋別郡雄武町,10 
北海道網走郡大空町,842 
北海道白老郡白老町,10305 
北海道勇払郡厚真町,500 
北海道勇払郡安平町,1039 
北海道沙流郡日高町,3300 
北海道浦河郡浦河町,12899 
北海道日高郡新ひだか町,77494 
北海道河東郡音更町,35637 
北海道河東郡士幌町,952 
北海道上川郡新得町,1420 
北海道上川郡清水町,46 
北海道河西郡芽室町,1670 
北海道河西郡更別村,341 
北海道中川郡幕別町,23042 
北海道中川郡本別町,2881 
北海道釧路郡釧路町,18533 
北海道厚岸郡厚岸町,208 
北海道川上郡標茶町,1178 
北海道川上郡弟子屈町,1271 
北海道白糠郡白糠町,7125 
北海道標津郡中標津町,34306 
青森県青森市,81697 
青森県弘前市,29502 
青森県八戸市,37903 
青森県黒石市,14000 
青森県五所川原市,12377 
青森県十和田市,379 
青森県三沢市,631 
青森県むつ市,248 
青森県東津軽郡平内町,506 
青森県西津軽郡鰺ヶ沢町,422 
青森県西津軽郡深浦町,55 
青森県北津軽郡鶴田町,320 
青森県北津軽郡中泊町,1321 
青森県上北郡七戸町,228 
青森県上北郡六戸町,1213 
青森県下北郡東通村,40 
青森県三戸郡田子町,143 
青森県三戸郡南部町,376 
岩手県盛岡市,87377 
岩手県宮古市,35048 
岩手県大船渡市,16427 
岩手県花巻市,9605 
岩手県北上市,6298 
岩手県久慈市,25177 
岩手県遠野市,2333 
岩手県一関市,6565 
岩手県陸前高田市,5933 
岩手県釜石市,46833 
岩手県二戸市,7955 
岩手県八幡平市,8495 
岩手県奥州市,8134 
岩手県滝沢市,55561 
岩手県岩手郡雫石町,704 
岩手県岩手郡葛巻町,5 
岩手県岩手郡岩手町,192 
岩手県紫波郡紫波町,12127 
岩手県紫波郡矢巾町,99997 
岩手県和賀郡西和賀町,830 
岩手県西磐井郡平泉町,5035 
岩手県気仙郡住田町,93 
岩手県上閉伊郡大槌町,22222 
岩手県下閉伊郡山田町,5266 
岩手県下閉伊郡田野畑村,1487 
岩手県下閉伊郡普代村,20 
岩手県九戸郡軽米町,200 
岩手県九戸郡野田村,475 
岩手県九戸郡九戸村,40 
岩手県九戸郡洋野町,30000 
岩手県二戸郡一戸町,1557 
宮城県仙台市,203011 
宮城県石巻市,46902 
宮城県塩竈市,76439 
宮城県気仙沼市,32573 
宮城県白石市,7326 
宮城県名取市,123610 
宮城県角田市,90 
宮城県多賀城市,107567 
宮城県岩沼市,77873 
宮城県登米市,13827 
宮城県栗原市,6326 
宮城県東松島市,9868 
宮城県大崎市,23560 
宮城県刈田郡蔵王町,12937 
宮城県刈田郡七ヶ宿町,108 
宮城県柴田郡大河原町,53444 
宮城県柴田郡村田町,1228 
宮城県柴田郡柴田町,37528 
宮城県亘理郡亘理町,58164 
宮城県宮城郡松島町,72006 
宮城県宮城郡七ヶ浜町,78301 
宮城県宮城郡利府町,103574 
宮城県黒川郡大和町,77209 
宮城県黒川郡大郷町,10822 
宮城県黒川郡富谷町,102659 
宮城県加美郡色麻町,1106 
宮城県加美郡加美町,10741 
宮城県遠田郡涌谷町,20768 
宮城県遠田郡美里町,8904 
宮城県本吉郡南三陸町,2698 
秋田県秋田市,71782 
秋田県能代市,3186 
秋田県横手市,13913 
秋田県湯沢市,11144 
秋田県にかほ市,16923 
秋田県鹿角郡小坂町,10811 
秋田県雄勝郡羽後町,9630 
山形県山形市,93788 
山形県米沢市,818 
山形県鶴岡市,18949 
山形県酒田市,17947 
山形県新庄市,2080 
山形県村山市,1421 
山形県長井市,100 
山形県天童市,31634 
山形県東根市,13047 
山形県尾花沢市,114 
山形県東村山郡山辺町,320 
山形県東村山郡中山町,460 
山形県西村山郡河北町,6250 
山形県西村山郡大江町,12857 
山形県北村山郡大石田町,59 
山形県最上郡最上町,311 
山形県最上郡真室川町,304 
山形県最上郡戸沢村,704 
山形県西置賜郡小国町,763 
山形県東田川郡三川町,140909 
山形県飽海郡遊佐町,186 
福島県福島市,100643 
福島県会津若松市,82329 
福島県郡山市,129981 
福島県いわき市,73784 
福島県白河市,48135 
福島県須賀川市,23529 
福島県喜多方市,20833 
福島県相馬市,10698 
福島県二本松市,15836 
福島県南相馬市,70630 
福島県伊達市,8729 
福島県本宮市,23439 
福島県伊達郡桑折町,14286 
福島県伊達郡国見町,8151 
福島県伊達郡川俣町,27273 
福島県安達郡大玉村,5542 
福島県岩瀬郡天栄村,14009 
福島県南会津郡下郷町,10694 
福島県南会津郡只見町,10997 
福島県南会津郡南会津町,1470 
福島県耶麻郡猪苗代町,2527 
福島県河沼郡会津坂下町,5229 
福島県大沼郡会津美里町,1002 
福島県西白河郡西郷村,50098 
福島県西白河郡泉崎村,3919 
福島県西白河郡中島村,378 
福島県石川郡石川町,6386 
福島県双葉郡広野町,44304 
福島県双葉郡楢葉町,12393 
福島県双葉郡浪江町,1429 
茨城県水戸市,97877 
茨城県日立市,73429 
茨城県土浦市,97437 
茨城県古河市,79813 
茨城県石岡市,37716 
茨城県結城市,20473 
茨城県龍ケ崎市,53876 
茨城県常総市,8614 
茨城県常陸太田市,19479 
茨城県高萩市,28061 
茨城県北茨城市,26506 
茨城県笠間市,36529 
茨城県取手市,58601 
茨城県牛久市,93561 
茨城県つくば市,121293 
茨城県ひたちなか市,64353 
茨城県守谷市,182841 
茨城県常陸大宮市,20362 
茨城県那珂市,108476 
茨城県筑西市,22029 
茨城県坂東市,29592 
茨城県稲敷市,11304 
茨城県桜川市,4169 
茨城県神栖市,55392 
茨城県鉾田市,19631 
茨城県つくばみらい市,108208 
茨城県小美玉市,41820 
茨城県東茨城郡茨城町,11751 
茨城県東茨城郡城里町,17778 
茨城県久慈郡大子町,5939 
茨城県稲敷郡美浦村,17557 
茨城県稲敷郡阿見町,84107 
茨城県稲敷郡河内町,2541 
茨城県結城郡八千代町,13152 
茨城県猿島郡境町,20038 
茨城県北相馬郡利根町,472 
栃木県宇都宮市,130966 
栃木県足利市,52598 
栃木県栃木市,45873 
栃木県佐野市,27047 
栃木県鹿沼市,43419 
栃木県日光市,25651 
栃木県小山市,98281 
栃木県真岡市,26616 
栃木県大田原市,28284 
栃木県那須塩原市,53119 
栃木県さくら市,44524 
栃木県那須烏山市,378 
栃木県下野市,34005 
栃木県河内郡上三川町,104008 
栃木県芳賀郡益子町,22649 
栃木県芳賀郡市貝町,24991 
栃木県芳賀郡芳賀町,1687 
栃木県下都賀郡壬生町,24609 
栃木県下都賀郡野木町,64606 
栃木県塩谷郡塩谷町,412 
栃木県塩谷郡高根沢町,17857 
栃木県那須郡那須町,10769 
栃木県那須郡那珂川町,4763 
群馬県前橋市,65301 
群馬県高崎市,101690 
群馬県桐生市,29292 
群馬県伊勢崎市,57320 
群馬県太田市,64054 
群馬県沼田市,29412 
群馬県館林市,39166 
群馬県渋川市,52584 
群馬県藤岡市,54772 
群馬県富岡市,47552 
群馬県安中市,24258 
群馬県みどり市,56087 
群馬県吾妻郡中之条町,24389 
群馬県吾妻郡嬬恋村,8588 
群馬県吾妻郡東吾妻町,10829 
群馬県利根郡昭和村,271 
群馬県利根郡みなかみ町,33 
群馬県佐波郡玉村町,24634 
群馬県邑楽郡板倉町,28112 
群馬県邑楽郡明和町,23300 
群馬県邑楽郡千代田町,31932 
群馬県邑楽郡大泉町,143287 
群馬県邑楽郡邑楽町,35558 
埼玉県さいたま市,284746 
埼玉県川越市,184257 
埼玉県熊谷市,128572 
埼玉県川口市,284993 
埼玉県行田市,60318 
埼玉県所沢市,229297 
埼玉県飯能市,104854 
埼玉県加須市,53231 
埼玉県本庄市,61981 
埼玉県東松山市,80767 
埼玉県春日部市,164364 
埼玉県狭山市,129706 
埼玉県羽生市,39090 
埼玉県鴻巣市,94137 
埼玉県深谷市,76072 
埼玉県上尾市,175168 
埼玉県草加市,224183 
埼玉県越谷市,244926 
埼玉県蕨市,386199 
埼玉県戸田市,295039 
埼玉県入間市,173834 
埼玉県朝霞市,269259 
